ID1,Prueba 1,ID2,Prueba 2,Pseudopalabras P1,Pseudopalabras P2
W1001,Encontrar,W2001,Empezar,Avispura,Naciotes
W1002,Pequeńo,W2002,Llevar,Treboteca,Profienda
W1003,Esperar,W2003,Perder,Huezo,Buel
W1004,Tiempo,W2004,Venir,Calio,Matre
W1005,Trabajo,W2005,Alto,Desto,Cina
W1006,Solo,W2006,Verdad,Pran,Bras
W1007,Cuerpo,W2007,Mundo,Flierra,Poga
W1008,Creer,W2008,Buscar,Recebro,Pastalla
W1009,Mano,W2009,Viejo,Sunidad,Sopriedad
W1010,Todo,W2010,Olvidar,Trin,Vel
W1011,Meter,W2011,Puerta,Empenser,Atrigar
W1012,Cara,W2012,Bastante,Mocer,Mendecir
W1013,Mostrar,W2013,Muerte,Tresar,Fecir
W1014,Empresa,W2014,Intentar,Trumedecer,Pantenir
W1015,Fuerza,W2015,Fuerte,Maltar,Reflosumir
W1016,Dinero,W2016,Subir,Impresiante,Maltado
W1017,Descubrir,W2017,Miedo,Gustorio,Grío
W1018,Antiguo,W2018,Calle,Prano,Neceras
W1019,Lanzar,W2019,Elegir,Acrusa,Trabasno
W1020,Suerte,W2020,Salud,Frujo,Merrón
W1021,Asunto,W2021,Llorar,Fidro,Preno
W1022,Dolor,W2022,Sangre,Lez,Tey
W1023,Crecer,W2023,Jefe,Frescencia,Botencia
W1024,Cerrar,W2024,Rostro,Sartena,Escandial
W1025,Enviar,W2025,Árbol,Posto,Pierto
W1026,Rey,W2026,Conocimiento,Sogro,Plama
W1027,Abierto,W2027,Lleno,Necera,Aleno
W1028,Vivo,W2028,Madera,Pierte,Loda
W1029,Rato,W2029,Feliz,Rojar,Susdener
W1030,Lluvia,W2030,Ropa,Azanar,Plenar
W1031,Cuento,W2031,Fiesta,Madar,Grasar
W1032,Colocar,W2032,Viajar,Ramar,Desmonocer
W1033,Recuerdo,W2033,Pesar,Pedifoso,Restir
W1034,Caballo,W2034,Altura,Preal,Percado
W1035,Recoger,W2035,Pared,Bargo,Sicestro
W1036,Piedra,W2036,Vecino,Monal,Prancipal
W1037,Seco,W2037,Bello,Tierzo,Fergua
W1038,Esconder,W2038,Peligro,Láprina,Inferio
W1039,Vuelta,W2039,Luchar,Toz,Sez
W1040,Grito,W2040,Caja,Musto,Nobre
W1041,Encargar,W2041,Pegar,Trampaso,Farmanta
W1042,Ruido,W2042,Sonrisa,Garimbano,Escultante
W1043,Labio,W2043,Funcionario,Iscólogo,Premisente
W1044,Saltar,W2044,Espejo,Palideción,Crecidente
W1045,Alimento,W2045,Merecer,Linuación,Parsonta
W1046,Desnudo,W2046,Encender,Envenar,Pano
W1047,Temor,W2047,Raíz,Malecir,Plańar
W1048,Pérdida,W2048,Lágrima,Quecir,Premever
W1049,Confianza,W2049,Cercano,Trebintar,Trigar
W1050,Cadena,W2050,Juventud,Abamunar,Flagar
W1051,Bailar,W2051,Dańo,Pascado,Pronocido
W1052,Cuello,W2052,Búsqueda,Barlo,Puntial
W1053,Robar,W2053,Silla,Transimático,Armitencial
W1054,Muestra,W2054,Despedir,Pente,Blello
W1055,Callar,W2055,Peligroso,,
W1056,Esquina,W2056,Puente,,
W1057,Lejano,W2057,Colgar,,
W1058,Fiel,W2058,Cabello,,
W1059,Carretera,W2059,Grabar,,
W1060,Traje,W2060,Techo,,
W1061,Mentira,W2061,Moneda,,
W1062,Pasear,W2062,Polvo,,
W1063,Rama,W2063,Vacío,,
W1064,Humo,W2064,Hilo,,
W1065,Asomar,W2065,Tarjeta,,
W1066,Sucio,W2066,Regreso,,
W1067,Escalera,W2067,Herida,,
W1068,Obrero,W2068,Rincón,,
W1069,Rueda,W2069,Engańar,,
W1070,Bolsillo,W2070,Cansado,,
W1071,Dulce,W2071,Gastar,,
W1072,Perdido,W2072,Apagar,,
W1073,Borrar,W2073,Tela,,
W1074,Adivinar,W2074,Repartir,,
W1075,Cárcel,W2075,Sed,,
W1076,Alcalde,W2076,Amante,,
W1077,Rezar,W2077,Palo,,
W1078,Ancho,W2078,Cuerda,,
W1079,Orilla,W2079,Ciego,,
W1080,Pecado,W2080,Azúcar,,
W1081,Alegre,W2081,Sabio,,
W1082,Sudor,W2082,Borracho,,
W1083,Huella,W2083,Broma,,
W1084,Pisar,W2084,Inquietud,,
W1085,Vientre,W2085,Llanto,,
W1086,Pálido,W2086,Sueldo,,
W1087,Socio,W2087,Basura,,
W1088,Gota,W2088,Fallecer,,
W1089,Castigar,W2089,Tragar,,
W1090,Tonto,W2090,Herido,,
W1091,Picar,W2091,Inaugurar,,
W1092,Orgulloso,W2092,Doloroso,,
W1093,Suelto,W2093,Amable,,
W1094,Eje,W2094,Aliento,,
W1095,Apellido,W2095,Agujero,,
W1096,Docente,W2096,Huelga,,
W1097,Colega,W2097,Pluma,,
W1098,Cerro,W2098,Lástima,,
W1099,Uńa,W2099,Semilla,,
W1100,Chiste,W2100,Carcajada,,
W1101,Desafío,W2101,Almacén,,
W1102,Penumbra,W2102,Seda,,
W1103,Resaltar,W2103,Vigilar,,
W1104,Ahogar,W2104,Culpable,,
W1105,Hueco,W2105,Pesadilla,,
W1106,Sabiduría,W2106,Ayuntamiento,,
W1107,Tibio,W2107,Anillo,,
W1108,Cumbre,W2108,Tapar,,
